latitude,longitude,dep,arret metro,nomcom,code postal,lieux à visiter,description
48.8043776128, 2.12191428655,78,AVENUE ROCKEFELLER,VERSAILLES,78646,Domaine de Versailles,Site et monument
48.5297011234, 2.01121429008,91,PLACE DU GÉNÉRAL DE GAULLE,DOURDAN,91200,Château de Dourdan,Site et monument
48.3990861531, 2.47460633799,91,RUE JEAN MOULIN,MILLY-LA-FORET,91405,Chapelle Saint-Blaise-des-Simples,Site et monument
48.9107485422, 2.29844099942,92,4 PONT DE CLICHY,ASNIERES-SUR-SEINE,92004,Cimetière des chiens,Site et monument
48.8985916976, 2.27434664194,92,22 ALLÉE CLAUDE MONET - ILE DE LA JATTE,LEVALLOIS-PERRET,92044,Maison de la pêche et de la nature,Musée et écomusée
48.8709643386, 2.16021312682,92,229 BIS AVENUE NAPOLÉON BONAPARTE,RUEIL-MALMAISON,92063,Château de la Petite Malmaison,Site et monument
49.1229952714, 1.70579323674,95,DOMAINE DE VILLARCEAUX,CHAUSSY,95150,Domaine de Villarceaux,Site et monument
49.1087711263, 1.84987383616,95,PLACE DU Château,GUIRY EN VEXIN,95295,Musée Archéologique du Val d'Oise,Musée et écomusée
49.065576858, 2.06263766558,95,RUE WILLIAM THORNLEY - Château DE GROUCHY,OSNY,95476,Musée départemental des sapeurs pompiers du Val d'Oise,Musée et écomusée
49.0507372302, 2.09664642452,95,PLACE DU PETIT MARTROY,PONTOISE,95500,Cathédrale Saint-Maclou,Site et monument
49.0584477246, 1.94869310617,95,HAMEAU DU PETIT-MESNIL,SAGY,95535,Musée de la moisson - ecomusée du parc naturel régional du vexin fr,Musée et écomusée
48.8339531627, 2.40317342962,75,"53, AVENUE DE Saint-MAURICE",Paris,75112,Zoo de Vincennes,"Espace de loisirs, espace récréatif"
48.8439800776, 2.21940877433,92,PARC DE Saint-CLOUD,Saint-CLOUD,92064,Domaine national de Saint-Cloud,Site et monument
48.1872727341, 2.74501622701,77,22 RUE HOCHE,SOUPPES-SUR-LOING,77458,Parc animalier de l'Emprunt,"Espace de loisirs, espace récréatif"
48.8726040396, 2.77678043755,77,,SERRIS,77111,Disneyland Paris,"Espace de loisirs, espace récréatif"
48.9101126559, 2.29835048413,92,,ASNIÈRES SUR SEINE,92004,Escale d'Asnières - parc Robinson,"Haltes, escales ou ports fluviaux de plaisance"
48.86116125, 2.29294931864,75,,Paris,75116,Escale Debilly - Trocadéro,"Haltes, escales ou ports fluviaux de plaisance"
48.9048747514, 2.29194609043,92,,CLICHY SUR SEINE,92024,Escale de Clichy,"Haltes, escales ou ports fluviaux de plaisance"
48.9555702887, 3.02315081171,77,YACHT CLUB DE LA BRIE,CHANGIS-SUR-MARNE,77084,Port du yacht club de la rie,"Haltes, escales ou ports fluviaux de plaisance"
48.8795015747, 2.36796314549,75,QUAI DE JEMMAPES,Paris,75110,Escale du bassin Louis Blanc,"Haltes, escales ou ports fluviaux de plaisance"
48.1529673667, 2.7450937761,77,HAMEAU DE NÉRONVILLE,CHATEAU-LANDON,77099,Halte de plaisance de Château-Landon,"Haltes, escales ou ports fluviaux de plaisance"
49.0308016318, 2.06068411338,95,6 QUAI DE LA TOURELLE,CERGY,95127,Port de Cergy,"Haltes, escales ou ports fluviaux de plaisance"
